19:42:25.664 ->  PTCAN:  ID: 194 Buffer: FB F6 8 FC 
19:42:25.699 ->  PTCAN:  ID: 194 Buffer: F4 F7 0 FC 
19:42:25.921 ->  PTCAN:  ID: 194 Buffer: F5 F8 0 FC 
19:42:26.114 ->  PTCAN:  ID: 194 Buffer: F6 F9 0 FC 
19:42:26.306 ->  PTCAN:  ID: 194 Buffer: F7 FA 0 FC 
19:42:26.498 ->  PTCAN:  ID: 194 Buffer: F8 FB 0 FC 
19:42:26.691 ->  PTCAN:  ID: 194 Buffer: F9 FC 0 FC 
19:42:26.916 ->  PTCAN:  ID: 194 Buffer: FA FD 0 FC 
19:42:27.111 ->  PTCAN:  ID: 194 Buffer: FB FE 0 FC 
19:42:27.303 ->  PTCAN:  ID: 194 Buffer: ED F0 0 FC 
