Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11401446,000004F2,false,Rx,0,8,73,12,FD,FF,00,40,01,00,
11411394,00000130,false,Rx,0,5,40,41,92,1F,D3,00,00,00,
11482852,000004F3,false,Rx,0,8,78,12,FE,FF,FF,FF,FF,FF,
11511789,00000130,false,Rx,0,5,40,41,92,1F,E4,00,00,00,
11573249,000004F8,false,Rx,0,8,00,12,FE,FF,FF,FF,FF,FF,
11611475,00000130,false,Rx,0,5,40,41,92,1F,F5,00,00,00,
11658819,00000480,false,Rx,0,8,40,02,FE,FF,FF,FF,FF,FF,
11711323,00000130,false,Rx,0,5,40,41,92,1F,06,00,00,00,
11747171,000004C0,false,Rx,0,8,41,42,FF,FF,FF,FF,FF,FF,
11812441,00000130,false,Rx,0,5,40,41,92,1F,17,00,00,00,
11828806,000004C1,false,Rx,0,8,56,52,FE,FF,FF,FF,FF,FF,
11911360,00000130,false,Rx,0,5,40,41,92,1F,28,00,00,00,
11915447,000004D6,false,Rx,0,8,60,52,FE,FF,FF,FF,FF,FF,
12007270,000004E0,false,Rx,0,8,61,52,FF,FF,FF,FF,FF,FF,
12011345,00000130,false,Rx,0,5,40,41,92,1F,39,00,00,00,
12090215,000004E1,false,Rx,0,8,62,52,FE,FF,FF,FF,FF,FF,
12111401,00000130,false,Rx,0,5,40,41,92,1F,4A,00,00,00,
12189144,000004E2,false,Rx,0,8,67,42,FE,FF,FF,FF,FF,FF,
12211464,00000130,false,Rx,0,5,40,41,92,1F,5B,00,00,00,
12285027,000004E7,false,Rx,0,8,6D,52,FE,FF,FF,FF,FF,FF,
12311567,00000130,false,Rx,0,5,40,41,92,1F,7C,00,00,00,
12376849,000004ED,false,Rx,0,8,72,52,FE,FF,FF,FF,FF,FF,
12411385,00000130,false,Rx,0,5,40,41,92,1F,8D,00,00,00,
12461560,000004F2,false,Rx,0,8,73,52,FD,FF,00,40,01,00,
12511456,00000130,false,Rx,0,5,40,41,92,1F,9E,00,00,00,
12543096,000004F3,false,Rx,0,8,78,52,FE,FF,FF,FF,FF,FF,
12611422,00000130,false,Rx,0,5,40,41,92,1F,A0,00,00,00,
12633010,000004F8,false,Rx,0,8,00,52,FE,FF,FF,FF,FF,FF,
12711378,00000130,false,Rx,0,5,40,41,92,1F,B1,00,00,00,
12718685,00000480,false,Rx,0,8,40,42,FE,FF,FF,FF,FF,FF,
12806669,000004C0,false,Rx,0,8,41,42,FF,01,30,01,EC,03,
12811486,00000130,false,Rx,0,5,40,41,92,1F,C2,00,00,00,
12888024,000004C1,false,Rx,0,8,56,52,FE,01,FF,FF,FF,FF,
12911493,00000130,false,Rx,0,5,40,41,92,1F,D3,00,00,00,
12979953,000004D6,false,Rx,0,8,60,52,FF,01,FF,FF,FF,FF,
13011504,00000130,false,Rx,0,5,40,41,92,1F,E4,00,00,00,
13067652,000004E0,false,Rx,0,8,61,52,FF,01,FF,FF,FF,FF,
13106339,00000130,false,Rx,0,5,40,41,92,0F,E5,00,00,00,
13111466,00000130,false,Rx,0,5,40,41,92,0F,F6,00,00,00,
13151338,000004E1,false,Rx,0,8,62,52,FE,01,FF,FF,FF,FF,
13211490,00000130,false,Rx,0,5,40,41,92,0F,07,00,00,00,
13226395,00000130,false,Rx,0,5,40,41,92,1F,28,00,00,00,
13250355,000004E2,false,Rx,0,8,67,42,FE,01,FF,FF,FF,FF,
13281527,00000130,false,Rx,0,5,40,41,9A,2F,D9,00,00,00,
13312752,00000130,false,Rx,0,5,40,41,9A,2F,EA,00,00,00,
13332856,000004E7,false,Rx,0,8,6D,52,FE,01,FF,FF,FF,FF,
13406406,00000130,false,Rx,0,5,40,41,92,1F,5B,00,00,00,
13411549,00000130,false,Rx,0,5,40,41,92,1F,7C,00,00,00,
13415902,000004ED,false,Rx,0,8,72,52,FE,01,FF,FF,FF,FF,
13501647,000004F2,false,Rx,0,8,73,52,FD,01,00,40,01,00,
13511617,00000130,false,Rx,0,5,40,41,92,1F,8D,00,00,00,
13583258,000004F3,false,Rx,0,8,78,52,FE,01,FF,FF,FF,FF,
13611453,00000130,false,Rx,0,5,40,41,92,1F,9E,00,00,00,
13673771,000004F8,false,Rx,0,8,00,52,FE,01,FF,FF,FF,FF,
13711493,00000130,false,Rx,0,5,40,41,92,1F,A0,00,00,00,
13759005,00000480,false,Rx,0,8,40,42,FE,01,FF,FF,FF,FF,
13811477,00000130,false,Rx,0,5,40,41,92,1F,B1,00,00,00,
13846584,000004C0,false,Rx,0,8,41,42,FF,01,30,01,EC,03,
13911460,00000130,false,Rx,0,5,40,41,92,1F,C2,00,00,00,
13946590,000004C1,false,Rx,0,8,56,52,FE,01,FF,FF,FF,FF,
14011468,00000130,false,Rx,0,5,40,41,92,1F,D3,00,00,00,
14044968,000004D6,false,Rx,0,8,60,52,FF,01,FF,FF,FF,FF,
14111459,00000130,false,Rx,0,5,40,41,92,1F,E4,00,00,00,
14127888,000004E0,false,Rx,0,8,61,52,FF,01,FF,FF,FF,FF,
14210005,000004E1,false,Rx,0,8,62,52,FE,01,FF,FF,FF,FF,
14211478,00000130,false,Rx,0,5,40,41,92,1F,F5,00,00,00,
14309340,000004E2,false,Rx,0,8,67,42,FE,01,FF,FF,FF,FF,
14311585,00000130,false,Rx,0,5,40,41,92,1F,06,00,00,00,
14400597,000004E7,false,Rx,0,8,6D,52,FE,01,FF,FF,FF,FF,
14411596,00000130,false,Rx,0,5,40,41,92,1F,17,00,00,00,
14495949,000004ED,false,Rx,0,8,72,52,FE,01,FF,FF,FF,FF,
14511505,00000130,false,Rx,0,5,40,41,92,1F,28,00,00,00,
14582743,000004F2,false,Rx,0,8,73,52,FD,01,00,40,01,00,
14611513,00000130,false,Rx,0,5,40,41,92,1F,39,00,00,00,
14683388,000004F3,false,Rx,0,8,78,52,FE,01,FF,FF,FF,FF,
14711495,00000130,false,Rx,0,5,40,41,92,1F,4A,00,00,00,
14766397,00000130,false,Rx,0,5,40,41,92,3F,7B,00,00,00,
14773316,000004F8,false,Rx,0,8,00,52,FE,01,FF,FF,FF,FF,
14811504,00000130,false,Rx,0,5,40,41,92,3F,9C,00,00,00,
14833969,000003BD,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
14859412,00000480,false,Rx,0,8,40,42,FE,01,FF,FF,FF,FF,
14906464,00000130,false,Rx,0,5,40,41,92,1F,8D,00,00,00,
14911547,00000130,false,Rx,0,5,40,41,92,1F,9E,00,00,00,
14946991,000004C0,false,Rx,0,8,41,42,FF,01,30,01,EC,03,
14966687,00000130,false,Rx,0,5,41,41,91,1F,A0,00,00,00,
15011521,00000130,false,Rx,0,5,41,41,91,1F,B1,00,00,00,
15026180,000003BE,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
15045660,000004C1,false,Rx,0,8,56,42,FE,01,FF,FF,FF,FF,
15046910,00000481,false,Rx,0,8,01,01,FF,FF,FF,FF,FF,FF,
15111559,00000130,false,Rx,0,5,41,41,91,1F,C2,00,00,00,
15130582,000004D6,false,Rx,0,8,60,02,FE,01,FF,FF,FF,FF,
15211985,00000130,false,Rx,0,5,41,41,91,1F,D3,00,00,00,
15228094,000004E0,false,Rx,0,8,61,02,FF,FF,FF,FF,FF,FF,
15228772,000003BE,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
15313482,000004E1,false,Rx,0,8,62,02,FE,FF,FF,FF,FF,FF,
15316604,00000130,false,Rx,0,5,41,41,91,1F,E4,00,00,00,
15409528,000004E2,false,Rx,0,8,67,02,FE,FF,FF,FF,FF,FF,
15411683,00000130,false,Rx,0,5,41,41,91,1F,F5,00,00,00,
15426217,000003BE,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
15508490,000004E7,false,Rx,0,8,6D,12,FE,FF,FF,FF,FF,FF,
15511566,00000130,false,Rx,0,5,41,41,91,1F,06,00,00,00,
15596128,000004ED,false,Rx,0,8,72,02,FE,FF,FF,FF,FF,FF,
15611578,00000130,false,Rx,0,5,41,41,91,1F,17,00,00,00,
15626450,00000130,false,Rx,0,5,41,41,A1,1F,38,00,00,00,
15681914,000004F2,false,Rx,0,8,73,02,FD,FF,00,40,01,00,
15711580,00000130,false,Rx,0,5,41,41,A1,1F,49,00,00,00,
15763638,000004F3,false,Rx,0,8,78,02,FE,FF,FF,FF,FF,FF,
15811565,00000130,false,Rx,0,5,41,41,A1,1F,5A,00,00,00,
15852487,000004F8,false,Rx,0,8,00,02,FE,FF,FF,FF,FF,FF,
15911623,00000130,false,Rx,0,5,41,41,A1,1F,6B,00,00,00,
15939811,00000480,false,Rx,0,8,01,02,FE,FF,FF,FF,FF,FF,
16011579,00000130,false,Rx,0,5,41,41,A1,1F,8C,00,00,00,
16026072,00000481,false,Rx,0,8,41,02,FF,FF,FF,FF,FF,FF,
16046764,000004C0,false,Rx,0,8,41,01,FF,01,30,01,EC,03,
16111591,00000130,false,Rx,0,5,41,41,A1,1F,9D,00,00,00,
16124578,000004C1,false,Rx,0,8,56,12,FE,FF,FF,FF,FF,FF,
16211598,00000130,false,Rx,0,5,41,41,A1,1F,AE,00,00,00,
16216188,000004D6,false,Rx,0,8,60,02,FE,FF,FF,FF,FF,FF,
16307716,000004E0,false,Rx,0,8,61,02,FF,FF,FF,FF,FF,FF,
16311610,00000130,false,Rx,0,5,41,41,A1,1F,B0,00,00,00,
16389893,000004E1,false,Rx,0,8,62,02,FE,FF,FF,FF,FF,FF,
16411712,00000130,false,Rx,0,5,41,41,A1,1F,C1,00,00,00,
16489672,000004E2,false,Rx,0,8,67,02,FE,FF,FF,FF,FF,FF,
16511628,00000130,false,Rx,0,5,41,41,A1,1F,D2,00,00,00,
16579419,000004E7,false,Rx,0,8,6D,12,FE,FF,FF,FF,FF,FF,
16611604,00000130,false,Rx,0,5,41,41,A1,1F,E3,00,00,00,
16680531,000004ED,false,Rx,0,8,72,12,FE,FF,FF,FF,FF,FF,
16711611,00000130,false,Rx,0,5,41,41,A1,1F,F4,00,00,00,
16761938,000004F2,false,Rx,0,8,73,12,FD,FF,00,40,01,00,
16812855,00000130,false,Rx,0,5,41,41,A1,1F,05,00,00,00,
16843931,000004F3,false,Rx,0,8,78,02,FE,FF,FF,FF,FF,FF,
16911611,00000130,false,Rx,0,5,41,41,A1,1F,16,00,00,00,
16932319,000004F8,false,Rx,0,8,00,02,FE,FF,FF,FF,FF,FF,
17012146,00000130,false,Rx,0,5,41,41,A1,1F,27,00,00,00,
17020202,00000480,false,Rx,0,8,01,02,FE,FF,FF,FF,FF,FF,
